Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,95,21.16842,0.77946,5.10526,1.07778,0.05223,0.05223
1,95,22.82105,0.83836,5.25263,1.10643,0.01597,0.01597
2,95,21.56842,0.79573,5.34737,1.13140,0.00901,0.00901
3,95,23.58947,0.86860,4.75789,1.00444,0.00368,0.00368
4,95,22.82105,0.83836,4.68421,0.98670,0.00953,0.00953
5,95,22.87368,0.84388,4.69474,0.99332,0.00720,0.00720
6,95,22.65263,0.83411,4.88421,1.03111,0.00769,0.00769
7,95,22.64211,0.83179,4.73684,0.99778,0.01076,0.01076
8,95,22.63158,0.83495,4.93684,1.04454,0.01736,0.01736
9,95,22.10526,0.81395,4.91579,1.03778,0.01421,0.01421
10,95,22.60000,0.83024,4.78947,1.00887,0.01927,0.01927
11,95,22.22105,0.81981,4.65263,0.98441,0.02465,0.02465
12,95,22.85263,0.84147,4.60000,0.97111,0.01312,0.01312
13,95,22.35789,0.82135,4.69474,0.98891,0.02073,0.02073
14,95,22.50526,0.83029,4.57895,0.96882,0.01731,0.01731
15,95,22.47368,0.82752,4.57895,0.96667,0.01328,0.01328
16,95,22.74737,0.83565,4.60000,0.96896,0.01426,0.01426
17,95,22.75789,0.83961,4.57895,0.96882,0.01268,0.01268
18,95,23.08421,0.85000,4.57895,0.96667,0.01316,0.01316
19,95,23.13684,0.84996,4.57895,0.96452,0.01441,0.01441
20,95,22.91579,0.84544,4.56842,0.96659,0.01152,0.01152
21,95,23.00000,0.84690,4.61053,0.97333,0.01412,0.01412
22,95,23.16842,0.85112,4.57895,0.96452,0.01399,0.01399
23,95,23.06316,0.85087,4.55789,0.96437,0.01396,0.01396
24,95,23.03158,0.84806,4.60000,0.97111,0.01434,0.01434
25,95,22.48421,0.82599,4.63158,0.97561,0.01505,0.01505
26,95,22.62105,0.83456,4.60000,0.97327,0.01434,0.01434
27,95,22.48421,0.82791,4.63158,0.97778,0.01445,0.01445
28,95,22.44211,0.82444,4.61053,0.97118,0.01501,0.01501
