Epoch - Batch,Loss student 0,Loss student 1,Ensemble loss,Multiloss value
Epoch 0 - Batch 0,340.34015,346.10083,340.8733,1031.8901
Epoch 0 - Batch 1,343.65347,341.95367,339.39224,1029.6315
Epoch 0 - Batch 2,393.1286,400.5451,393.69604,1191.8369
Epoch 0 - Batch 3,370.40237,370.56616,367.143,1114.7664
Epoch 0 - Batch 4,320.76837,324.00687,318.193,966.9403
Epoch 0 - Batch 5,338.5499,340.33783,335.74316,1018.6909
Epoch 0 - Batch 6,344.07965,342.27786,338.37982,1030.3684
Epoch 0 - Batch 7,340.4607,342.12418,337.65533,1024.1499
Epoch 0 - Batch 8,306.47894,305.8199,301.2077,918.3055
Epoch 0 - Batch 9,321.1724,323.15662,318.72922,967.5405
Epoch 0 - Batch 10,291.59302,297.61978,293.49072,887.13983
Epoch 0 - Batch 11,253.3205,256.321,251.99011,766.4862
Epoch 0 - Batch 12,266.8532,272.09625,265.77002,808.34906
Epoch 0 - Batch 13,322.49835,332.58487,325.13623,984.5808
Epoch 0 - Batch 14,272.60504,275.40027,272.2381,824.46844
Epoch 0 - Batch 15,303.97717,310.00095,305.5199,923.7023
Epoch 0 - Batch 16,304.54315,306.93784,304.7556,920.05347
Epoch 0 - Batch 17,353.17627,357.1701,352.7656,1067.3505
Epoch 0 - Batch 18,275.06186,279.7567,275.42453,833.5696
Epoch 0 - Batch 19,298.52646,299.65103,296.34808,898.4809
Epoch 0 - Batch 20,265.95862,269.81683,267.29095,807.1695
Epoch 0 - Batch 21,326.94632,329.70575,326.08453,987.82263
Epoch 0 - Batch 22,295.76794,296.2025,292.54507,890.6002
Epoch 0 - Batch 23,280.6256,280.9401,277.48672,846.458
Epoch 0 - Batch 24,284.93768,289.431,284.30084,865.83887
Epoch 0 - Batch 25,236.41663,236.13446,235.8539,716.5862
Epoch 0 - Batch 26,248.70325,249.06747,245.8707,751.9066
Epoch 0 - Batch 27,240.88892,238.26035,236.68948,725.35425
Epoch 0 - Batch 28,274.29807,276.0671,271.52155,832.4096
Epoch 1 - Batch 0,284.45056,290.50064,285.40646,870.8014
Epoch 1 - Batch 1,262.48065,269.30057,264.17566,805.818
Epoch 1 - Batch 2,247.97075,254.8491,247.8803,758.6021
Epoch 1 - Batch 3,282.6838,285.84625,279.16974,856.4295
Epoch 1 - Batch 4,221.74268,225.51279,219.48952,676.32196
Epoch 1 - Batch 5,209.72833,212.20523,204.67044,637.3985
Epoch 1 - Batch 6,232.0169,237.392,227.38414,706.80786
Epoch 1 - Batch 7,251.7739,250.23709,245.42862,756.7654
Epoch 1 - Batch 8,244.80188,250.4472,241.63544,747.0613
Epoch 1 - Batch 9,200.30986,206.19052,196.30354,610.68835
Epoch 1 - Batch 10,215.83665,223.29697,215.3272,663.7002
Epoch 1 - Batch 11,193.86317,192.72879,185.83513,583.961
Epoch 1 - Batch 12,165.08093,166.9736,160.53482,501.5021
Epoch 1 - Batch 13,170.98895,172.28773,163.23499,519.8252
Epoch 1 - Batch 14,210.15941,209.69948,202.66336,637.38306
Epoch 1 - Batch 15,176.90384,181.11806,170.983,548.1153
Epoch 1 - Batch 16,207.53735,194.17798,197.07135,612.3517
Epoch 1 - Batch 17,213.18735,194.77737,206.03152,626.28796
Epoch 1 - Batch 18,237.91916,217.79533,223.51616,702.83545
Epoch 1 - Batch 19,174.75897,165.1759,163.64386,538.3577
Epoch 1 - Batch 20,194.2038,179.81097,182.28397,584.29645
Epoch 1 - Batch 21,156.18138,155.07617,151.01152,503.19653
Epoch 1 - Batch 22,222.43806,227.54749,217.14276,709.17957
Epoch 1 - Batch 23,171.68988,180.41129,171.76846,548.87915
Epoch 1 - Batch 24,170.17114,161.79262,159.52644,528.2398
Epoch 1 - Batch 25,169.97556,166.55812,164.90292,530.39014
Epoch 1 - Batch 26,135.1828,137.37903,134.30745,436.74915
Epoch 1 - Batch 27,152.64279,153.94624,152.55403,500.42596
Epoch 1 - Batch 28,142.36511,150.37769,146.65182,481.0513
Epoch 2 - Batch 0,157.2286,161.11707,158.332,520.18005
Epoch 2 - Batch 1,153.06973,156.98602,158.50043,508.67908
Epoch 2 - Batch 2,147.80907,138.78886,144.87143,476.0864
Epoch 2 - Batch 3,150.72095,152.35037,148.90898,482.41138
Epoch 2 - Batch 4,171.32358,181.77965,167.80412,567.23114
Epoch 2 - Batch 5,121.15935,130.72404,120.02248,406.01178
Epoch 2 - Batch 6,129.45746,120.91618,121.159966,417.7744
Epoch 2 - Batch 7,147.8381,135.46402,143.38904,463.1148
Epoch 2 - Batch 8,143.89528,152.16805,150.91653,478.20355
Epoch 2 - Batch 9,136.02347,149.30154,150.84229,466.81427
Epoch 2 - Batch 10,115.69763,118.06303,114.580734,368.39825
Epoch 2 - Batch 11,131.31462,131.78226,127.92654,420.49417
Epoch 2 - Batch 12,112.52732,122.905624,115.68091,380.95502
Epoch 2 - Batch 13,105.4292,112.789825,103.658775,348.43063
Epoch 2 - Batch 14,101.2013,106.08385,98.02011,331.6589
Epoch 2 - Batch 15,125.38891,139.84317,124.566956,420.03717
Epoch 2 - Batch 16,112.85472,120.92029,115.17998,372.52502
Epoch 2 - Batch 17,121.80641,130.73051,125.31549,401.30835
Epoch 2 - Batch 18,118.1614,127.61262,126.25212,401.58832
Epoch 2 - Batch 19,132.61948,166.20386,166.67412,501.99756
Epoch 2 - Batch 20,104.07857,114.98581,110.801605,380.9481
Epoch 2 - Batch 21,117.11664,132.12732,128.34839,426.38617
Epoch 2 - Batch 22,104.23543,110.63104,109.7772,376.3308
Epoch 2 - Batch 23,138.64938,147.40414,141.34447,459.5066
Epoch 2 - Batch 24,102.91589,117.81081,112.10649,361.7155
Epoch 2 - Batch 25,106.55187,113.23335,110.59399,359.9165
Epoch 2 - Batch 26,125.77041,124.509636,121.417244,400.2358
Epoch 2 - Batch 27,91.471176,105.552475,89.64566,315.49963
Epoch 2 - Batch 28,97.765594,110.99447,95.67149,332.9016
Epoch 3 - Batch 0,85.341415,109.172356,82.88014,319.2757
Epoch 3 - Batch 1,103.07444,116.60852,105.02138,356.88016
Epoch 3 - Batch 2,104.54413,113.17638,106.02746,354.14532
Epoch 3 - Batch 3,98.45186,104.32556,99.1057,334.0047
Epoch 3 - Batch 4,104.823,110.70988,106.009186,356.1231
Epoch 3 - Batch 5,102.54155,123.15494,117.179634,387.10083
Epoch 3 - Batch 6,88.61807,102.9505,98.85645,342.8793
Epoch 3 - Batch 7,85.42015,89.42396,86.61946,319.20624
Epoch 3 - Batch 8,103.64494,101.523254,103.373505,348.95047
Epoch 3 - Batch 9,97.56708,110.19798,108.935394,346.55945
Epoch 3 - Batch 10,97.4081,110.39749,109.48016,348.03745
Epoch 3 - Batch 11,84.35835,94.098114,84.823044,288.98254
Epoch 3 - Batch 12,96.416695,103.56243,98.08826,323.39618
Epoch 3 - Batch 13,85.2228,101.142265,88.64599,308.98672
Epoch 3 - Batch 14,77.84338,92.7012,82.0441,282.74988
Epoch 3 - Batch 15,75.82663,86.69354,78.55261,268.46338
Epoch 3 - Batch 16,94.902115,114.26567,112.95262,350.92267
Epoch 3 - Batch 17,83.36535,90.85149,86.170746,300.83746
Epoch 3 - Batch 18,89.20598,107.34837,94.28088,324.21024
Epoch 3 - Batch 19,95.90675,108.99458,100.471634,348.97302
Epoch 3 - Batch 20,100.53778,130.09285,132.44215,403.10138
Epoch 3 - Batch 21,83.96141,92.189896,88.48375,307.95038
Epoch 3 - Batch 22,91.3778,104.14817,102.00306,342.14685
