Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,95,23.45263,0.86357,5.66316,1.19556,0.00125,0.00125
1,95,24.90526,0.92386,4.72632,1.00223,0.00115,0.00115
2,95,25.54737,0.93852,4.74737,1.00000,0.00000,0.00000
3,95,25.86316,0.95380,4.68421,0.99330,0.00000,0.00000
4,95,26.26316,0.96780,4.68421,0.98889,0.00000,0.00000
5,95,25.14737,0.92777,4.56842,0.96659,0.00207,0.00207
6,95,25.24211,0.92946,4.57895,0.96667,0.00207,0.00207
7,95,25.46316,0.94455,4.58947,0.97321,0.00104,0.00104
8,95,25.23158,0.92691,4.57895,0.96452,0.00207,0.00207
9,95,25.80000,0.95148,4.55789,0.96652,0.00000,0.00000
10,95,25.72632,0.94802,4.57895,0.96667,0.00104,0.00104
11,95,25.18947,0.92932,4.56842,0.96659,0.00207,0.00207
12,95,24.53684,0.90349,4.57895,0.96667,0.00415,0.00415
13,95,25.01053,0.92776,4.56842,0.96875,0.00207,0.00207
14,95,24.26316,0.89134,4.58947,0.96674,0.00518,0.00518
15,95,24.16842,0.89130,4.55789,0.96652,0.00518,0.00518
16,95,24.18947,0.89139,4.57895,0.96667,0.00518,0.00518
17,95,24.15789,0.89126,4.56842,0.96659,0.00518,0.00518
18,95,24.21053,0.89147,4.57895,0.96667,0.00518,0.00518
19,95,24.03158,0.89145,4.57895,0.97098,0.00518,0.00518
20,95,24.26316,0.89134,4.58947,0.96674,0.00518,0.00518
21,95,24.16842,0.89130,4.55789,0.96652,0.00518,0.00518
22,95,24.18947,0.89139,4.57895,0.96667,0.00518,0.00518
23,95,24.15789,0.89126,4.56842,0.96659,0.00518,0.00518
24,95,24.21053,0.89147,4.57895,0.96667,0.00518,0.00518
25,95,24.02105,0.89106,4.56842,0.96875,0.00518,0.00518
26,95,24.26316,0.89134,4.58947,0.96674,0.00518,0.00518
27,95,24.16842,0.89130,4.55789,0.96652,0.00518,0.00518
28,95,24.18947,0.89139,4.57895,0.96667,0.00518,0.00518
29,95,24.15789,0.89126,4.57895,0.96882,0.00518,0.00518
30,95,24.21053,0.89147,4.57895,0.96667,0.00518,0.00518
31,95,24.02105,0.89106,4.56842,0.96875,0.00518,0.00518
32,95,24.16842,0.88786,4.61053,0.97118,0.00415,0.00415
33,95,24.16842,0.89130,4.55789,0.96652,0.00518,0.00518
34,95,24.18947,0.89139,4.57895,0.96667,0.00518,0.00518
35,95,24.15789,0.89126,4.56842,0.96659,0.00518,0.00518
36,95,24.20000,0.89109,4.58947,0.96889,0.00518,0.00518
37,95,24.02105,0.89106,4.56842,0.96875,0.00518,0.00518
38,95,24.26316,0.89134,4.58947,0.96674,0.00518,0.00518
39,95,24.14737,0.89053,4.54737,0.96429,0.00518,0.00518
40,95,24.15789,0.89022,4.56842,0.96444,0.00518,0.00518
41,95,23.81053,0.87845,4.57895,0.96882,0.00000,0.00000
42,95,23.78947,0.87597,4.57895,0.96667,0.00000,0.00000
43,95,23.58947,0.87505,4.56842,0.96875,0.00000,0.00000
44,95,23.84211,0.87587,4.58947,0.96674,0.00000,0.00000
45,95,23.73684,0.87539,4.55789,0.96652,0.00000,0.00000
46,95,23.55789,0.86811,4.57895,0.96667,0.00302,0.00302
47,95,23.40000,0.86330,4.56842,0.96659,0.00375,0.00375
48,95,23.64211,0.87054,4.57895,0.96667,0.00083,0.00083
49,95,23.54737,0.87349,4.54737,0.96429,0.00072,0.00072
50,95,23.01053,0.84532,4.57895,0.96452,0.00905,0.00905
51,95,23.63158,0.87151,4.56842,0.96875,0.00083,0.00083
52,95,23.70526,0.87355,4.56842,0.96444,0.00072,0.00072
53,95,23.72632,0.87534,4.56842,0.96659,0.00000,0.00000
54,95,23.40000,0.86163,4.57895,0.96667,0.00348,0.00348
55,95,23.58947,0.87505,4.56842,0.96875,0.00000,0.00000
56,95,24.00000,0.88167,4.57895,0.96452,0.00207,0.00207
57,95,23.73684,0.87539,4.55789,0.96652,0.00000,0.00000
58,95,23.76842,0.87587,4.55789,0.96222,0.00104,0.00104
59,95,23.73684,0.87573,4.56842,0.96659,0.00000,0.00000
60,95,23.80000,0.87636,4.56842,0.96444,0.00104,0.00104
61,95,23.64211,0.87700,4.56842,0.96875,0.00104,0.00104
62,95,23.82105,0.87510,4.58947,0.96674,0.00000,0.00000
63,95,23.44211,0.86452,4.51579,0.95759,0.00000,0.00000
64,95,23.49474,0.86579,4.53684,0.95778,0.00000,0.00000
65,95,23.60000,0.87068,4.53684,0.95991,0.00047,0.00047
66,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
67,95,23.29474,0.86412,4.51579,0.95759,0.00000,0.00000
68,95,23.61053,0.86736,4.53684,0.95565,0.00047,0.00047
69,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
70,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
71,95,23.44211,0.86485,4.51579,0.95546,0.00000,0.00000
72,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
73,95,23.23158,0.86177,4.51579,0.95759,0.00182,0.00182
74,95,23.54737,0.86504,4.53684,0.95565,0.00000,0.00000
75,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
76,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
77,95,23.44211,0.86485,4.51579,0.95546,0.00000,0.00000
78,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
79,95,23.28421,0.86373,4.51579,0.95759,0.00000,0.00000
80,95,23.54737,0.86504,4.53684,0.95565,0.00000,0.00000
81,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
82,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
83,95,23.44211,0.86485,4.51579,0.95546,0.00000,0.00000
84,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
85,95,23.28421,0.86373,4.51579,0.95759,0.00000,0.00000
86,95,23.54737,0.86504,4.53684,0.95565,0.00000,0.00000
87,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
88,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
89,95,23.44211,0.86485,4.51579,0.95546,0.00000,0.00000
90,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
91,95,23.28421,0.86373,4.51579,0.95759,0.00000,0.00000
92,95,23.54737,0.86504,4.53684,0.95565,0.00000,0.00000
93,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
94,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
95,95,23.44211,0.86485,4.51579,0.95546,0.00000,0.00000
96,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
97,95,23.28421,0.86373,4.51579,0.95759,0.00000,0.00000
98,95,23.54737,0.86504,4.53684,0.95565,0.00000,0.00000
99,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
100,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
101,95,23.44211,0.86485,4.51579,0.95546,0.00000,0.00000
102,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
103,95,23.28421,0.86373,4.51579,0.95759,0.00000,0.00000
104,95,23.54737,0.86504,4.53684,0.95565,0.00000,0.00000
105,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
106,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
107,95,23.44211,0.86485,4.51579,0.95546,0.00000,0.00000
108,95,23.47368,0.86434,4.52632,0.95556,0.00000,0.00000
109,95,23.28421,0.86373,4.51579,0.95759,0.00000,0.00000
110,95,23.54737,0.86504,4.53684,0.95565,0.00000,0.00000
111,95,23.42105,0.86374,4.50526,0.95536,0.00000,0.00000
112,95,23.47368,0.86501,4.52632,0.95556,0.00000,0.00000
113,95,23.37895,0.86252,4.53684,0.95991,0.00000,0.00000
114,95,23.41053,0.86202,4.55789,0.96222,0.00000,0.00000
115,95,23.28421,0.86373,4.51579,0.95759,0.00000,0.00000
116,95,23.51579,0.86388,4.55789,0.96009,0.00000,0.00000
117,95,23.38947,0.86258,4.52632,0.95982,0.00000,0.00000
118,95,23.41053,0.86268,4.55789,0.96222,0.00000,0.00000
119,95,23.40000,0.86330,4.55789,0.96437,0.00000,0.00000
120,95,23.37895,0.86085,4.58947,0.96889,0.00000,0.00000
121,95,23.11579,0.85748,4.56842,0.96875,0.00083,0.00083
122,95,23.28421,0.85538,4.56842,0.96231,0.00568,0.00568
123,95,22.97895,0.84744,4.53684,0.96205,0.00640,0.00640
124,95,23.35789,0.86074,4.54737,0.96000,0.00776,0.00776
125,95,22.93684,0.84621,4.57895,0.96882,0.01224,0.01224
126,95,22.96842,0.84574,4.62105,0.97556,0.03679,0.03679
127,95,22.73684,0.84342,4.62105,0.97991,0.03882,0.03882
128,95,22.94737,0.84300,4.63158,0.97561,0.03218,0.03218
129,95,22.80000,0.84084,4.60000,0.97545,0.03465,0.03465
130,95,22.80000,0.84019,4.63158,0.97778,0.02566,0.02566
131,95,22.86316,0.84350,4.62105,0.97773,0.03882,0.03882
132,95,22.89474,0.84302,4.63158,0.97778,0.03209,0.03209
133,95,22.72632,0.84303,4.62105,0.97991,0.03882,0.03882
134,95,22.98947,0.84455,4.64211,0.97783,0.03646,0.03646
135,95,22.85263,0.84278,4.61053,0.97768,0.03882,0.03882
136,95,22.85263,0.84213,4.63158,0.97778,0.03200,0.03200
137,95,22.82105,0.84194,4.62105,0.97773,0.03106,0.03106
138,95,22.71579,0.83643,4.63158,0.97778,0.01999,0.01999
139,95,22.44211,0.83249,4.62105,0.97991,0.00094,0.00094
140,95,22.65263,0.83217,4.64211,0.97783,0.00000,0.00000
141,95,22.51579,0.83036,4.60000,0.97545,0.00000,0.00000
142,95,22.56842,0.83165,4.63158,0.97778,0.00000,0.00000
143,95,22.65263,0.83573,4.62105,0.97773,0.01553,0.01553
144,95,22.73684,0.83721,4.63158,0.97778,0.01191,0.01191
145,95,22.61053,0.83873,4.62105,0.97991,0.03044,0.03044
146,95,22.71579,0.83449,4.64211,0.97783,0.00236,0.00236
147,95,22.63158,0.83463,4.61053,0.97768,0.01631,0.01631
148,95,22.87368,0.84290,4.63158,0.97778,0.03788,0.03788
